Code, Label, LangCode
"2455005", "Balers", "EN"
"203", "Bambara beans", "EN"
"7203", "Bambara Beans Tree", "EN"
"2615", "Bananas", "EN"
"486", "Bananas", "EN"
"1951", "Bananas and plantains", "EN"
"7486", "Bananas Tree", "EN"
"44", "Barley", "EN"
"2513", "Barley", "EN"
"2808", "Barley - Including Beer", "EN"
"48", "Barley Flour and Grits", "EN"
"46", "Barley Pearled", "EN"
"7044", "Barley Tree", "EN"
"43", "Barley, pearled(43)", "EN"
"1378", "Basic Slag", "EN"
"2546", "Beans", "EN"
"176", "Beans, dry", "EN"
"7176", "Beans, Dry Tree", "EN"
"414", "Beans, green", "EN"
"7414", "Beans, Green Tree", "EN"
"1806", "Beef and Buffalo Meat", "EN"
"876", "Beef canned", "EN"
"1768", "Beef Mutton Pigmeat Prim", "EN"
"1747", "Beef&Buffalo Meat Indig", "EN"
"1181", "Beehives", "EN"
"2656", "Beer", "EN"
"1967", "Beer 112.3", "EN"
"51", "Beer of Barley", "EN"
"66", "Beer of Maize", "EN"
"82", "Beer of Millet", "EN"
"86", "Beer of Sorghum", "EN"
"1183", "Beeswax", "EN"
"169", "Beet Pulp", "EN"
"159", "Beet sugar, raw, centrifugal", "EN"
"629", "Beet Tops", "EN"
"647", "Beets for Fodder", "EN"
"1334", "Benzimidazoles", "EN"
"1318", "Benzimidazoles-SeedTrF", "EN"
"558", "Berries Nes", "EN"
"7558", "Berries nes Tree", "EN"
"634", "Bever. Dist.Alc", "EN"
"633", "Beverage Non-Alc", "EN"
"1895", "Beverages", "EN"
"1961", "Beverages Excl Cocoa", "EN"
"2830", "Beverages Fruit Fermentd", "EN"
"2658", "Beverages, Alcoholic", "EN"
"2657", "Beverages, Fermented", "EN"
"1894", "Beverages+Tobacco -1", "EN"
"1435", "Binapacryl", "EN"
"1769", "Biol.Meat", "EN"
"1071", "Biological Duck Meat", "EN"
"1078", "Biological Goose Meat", "EN"
"1125", "Biological Mule Meat", "EN"
"1162", "Biological Other Camel", "EN"
"1085", "Biological Other Poultry", "EN"
"1155", "Biological Rodents", "EN"
"1088", "Biological Turkey Meat", "EN"
"1329", "Bipiridils", "EN"
"1089", "Bird meat, nes", "EN"
"1688", "Black Liquor", "EN"
"1663", "Bleached Sulphate Pulp", "EN"
"1661", "Bleached Sulphite Pulp", "EN"
"10109", "Blended And Mix", "EN"
"1175", "Blood Meal", "EN"
"552", "Blueberries", "EN"
"7552", "Blueberries Tree", "EN"
"1338", "Botanic prod&biologSdTrF", "EN"
"1314", "Botanic.Produc&Biologic.", "EN"
"2731", "Bovine Meat", "EN"
"2071", "Bovine Meat", "EN"
"879", "Bovine meat, other preparations(879)", "EN"
"1921", "Bovine, Animals", "EN"
"91", "Bran Buckwheat", "EN"
"47", "Bran of Barley", "EN"
"112", "Bran of Cereals", "EN"
"96", "Bran of Fonio", "EN"
"59", "Bran of Maize", "EN"
"81", "Bran of Millet", "EN"
"105", "Bran of Mixed Grains", "EN"
"77", "Bran of Oats", "EN"
"213", "Bran of Pulses", "EN"
"35", "Bran of Rice", "EN"
"73", "Bran of Rye", "EN"
"85", "Bran of Sorghum", "EN"
"99", "Bran of Triticale", "EN"
"17", "Bran of Wheat", "EN"
"1959", "Bran+Milling Prod", "EN"
"2600", "Brans", "EN"
"229", "Brazil Nuts Shelled", "EN"
"7216", "Brazil Nuts Tree", "EN"
"216", "Brazil nuts, with shell", "EN"
"20", "Bread", "EN"
"41", "Breakfast Cereals", "EN"
"7181", "Broad Beans, Dry Tree", "EN"
"7420", "Broad Beans, Green Tree", "EN"
"181", "Broad beans, horse beans, dry", "EN"
"89", "Buckwheat", "EN"
"7089", "Buckwheat Tree", "EN"
"957", "Buffalo Hide", "EN"
"973", "Buffalo Live Weight", "EN"
"947", "Buffalo meat", "EN"
"7951", "Buffalo Milk Tree", "EN"
"951", "Buffalo milk, whole, fresh", "EN"
"946", "Buffaloes", "EN"
"2702", "Buffaloes", "EN"
"7946", "Buffaloes Tree", "EN"
"21", "Bulgur", "EN"
"10021", "Bulgur Wheat Total", "EN"
"1938", "Butter", "EN"
"1811", "Butter and Ghee", "EN"
"886", "Butter Cow Milk", "EN"
"952", "Butter of Bufmilk", "EN"
"1022", "Butter of Goat Mlk", "EN"
"264", "Butter of Karite Nuts", "EN"
"989", "Butter of sheep milk(989)", "EN"
"11938", "Butter Oil Total", "EN"
"2740", "Butter, Ghee", "EN"
"983", "Butter,Ghee of Sheep Milk", "EN"
"893", "Butterm.,Curdl,Acid.Milk", "EN"
"906", "Buttermilk, curdled milk, oth. (906)", "EN"
"644", "Cabbage for Fodder", "EN"
"358", "Cabbages and other brassicas", "EN"
"7358", "Cabbages Tree", "EN"
"253", "Cake of Copra", "EN"
"332", "Cake of Cottonseed", "EN"
"245", "Cake of Groundnuts", "EN"
"338", "Cake of Hempseed", "EN"
"314", "Cake of Kapok", "EN"
"335", "Cake of Linseed", "EN"
"61", "Cake of Maize", "EN"
"294", "Cake of Mustard", "EN"
"341", "Cake of Oilseeds, Nes", "EN"
"259", "Cake of Palm Kernel", "EN"
"298", "Cake of Poppy Seed", "EN"
"272", "Cake of Rapeseed", "EN"
"291", "Cake of Sesame Seed", "EN"
"238", "Cake of Soybeans", "EN"
"37", "Cake Rice Bran", "EN"
"282", "Cake Safflower", "EN"
"1372", "Calcium Ammonium Nitrate", "EN"
"310240", "Calcium ammonium nitrate", "EN"
"1366", "Calcium Cyanamide", "EN"
"1365", "Calcium Nitrate", "EN"
"864", "Calves", "EN"
"1138", "Camel Live Weight", "EN"
"1127", "Camel meat", "EN"
"1130", "Camel milk, whole, fresh", "EN"
"1126", "Camels", "EN"
"8126", "Camels Tree", "EN"
"101", "Canary seed", "EN"
"7101", "Canary Seed Tree", "EN"
"158", "Cane sugar, raw, centrifugal", "EN"
"630", "Cane Tops", "EN"
"1931", "Canned Meat nes", "EN"
"451", "Canned Mushrooms", "EN"
"1441", "Captafol & methamidophos", "EN"
"1324", "Carbamates Herbicides", "EN"
"1312", "Carbamates Insecticides", "EN"
"1342", "Carbamates-insect-SdTr", "EN"
"1672", "Carbon & Copy Paper,rfu", "EN"
"461", "Carobs", "EN"
"7461", "Carobs Tree", "EN"
"426", "Carrots and turnips", "EN"
"648", "Carrots for Fodder", "EN"
"7426", "Carrots Tree", "EN"
"1617", "Case Materials", "EN"
"917", "Casein", "EN"
"22006", "Cash surplus/deficit (% of GDP)", "EN"
"230", "Cashew Nuts Shelled", "EN"
"7217", "Cashew Nuts Tree", "EN"
"217", "Cashew nuts, with shell", "EN"
"591", "Cashewapple", "EN"
"7591", "Cashewapple Tree", "EN"
"125", "Cassava", "EN"
"2532", "Cassava", "EN"
"128", "Cassava Dried", "EN"
"1953", "Cassava Equivalent", "EN"
"378", "Cassava leaves", "EN"
"129", "Cassava Starch", "EN"
"7125", "Cassava Tree", "EN"
"7265", "Castor Beans Tree", "EN"
"1273", "Castor Oil Hydr (Opal Wax)", "EN"
"265", "Castor oil seed", "EN"
"1721", "Catt&Buf Hid", "EN"
"2701", "Cattle", "EN"
"866", "Cattle", "EN"
"1746", "Cattle and Buffaloes", "EN"
"871", "Cattle Butch.Fat", "EN"
"919", "Cattle Hides", "EN"
"945", "Cattle Live Weight", "EN"
"867", "Cattle meat", "EN"
"7866", "Cattle Tree", "EN"
"7393", "Cauliflower Tree", "EN"
"393", "Cauliflowers and broccoli", "EN"
"2766", "Cephalopods", "EN"
"1576", "Cephalopods Meal F Offal", "EN"
"1570", "Cephlp Fresh", "EN"
"107", "Cereal brans, nes(107)", "EN"
"100", "Cereal flours, nes(100)", "EN"
"113", "Cereal Preparations, Nes", "EN"
"1716", "Cereals", "EN"
"1944", "Cereals", "EN"
"12061", "Cereals", "EN"
"2905", "Cereals - Excluding Beer", "EN"
"2906", "Cereals - Including Beer", "EN"
"1817", "Cereals (Rice Milled Eqv", "EN"
"1888", "Cereals and Prep -04", "EN"
"1948", "Cereals nes", "EN"
"7108", "Cereals nes Tree", "EN"
"108", "Cereals, nes", "EN"
"106", "Cereals, nes(106)", "EN"
"2520", "Cereals, Other", "EN"
"1717", "Cereals,Total", "EN"
"1687", "Charcoal", "EN"
"2741", "Cheese", "EN"
"1745", "Cheese (All Kinds)", "EN"
"1939", "Cheese and Curd", "EN"
"955", "Cheese of Bufmilk", "EN"
"1021", "Cheese of Goat Mlk", "EN"
"984", "Cheese of Sheep Milk", "EN"
"904", "Cheese of Skimmed Cow Milk", "EN"
"901", "Cheese of Whole Cow Milk", "EN"
"5503", "Chemical Wood Pulp", "EN"
"1656", "Chemical Wood Pulp", "EN"
"531", "Cherries", "EN"
"7531", "Cherries Tree", "EN"
"220", "Chestnuts", "EN"
"191", "Chick peas", "EN"
"1095", "Chicken Live Weight", "EN"
"1058", "Chicken meat", "EN"
"1057", "Chickens", "EN"
"8057", "Chickens Tree", "EN"
"7191", "Chick-Peas Tree", "EN"
"459", "Chicory roots", "EN"
"7459", "Chicory Roots Tree", "EN"
"689", "Chillies and peppers, dry", "EN"
"401", "Chillies and peppers, green", "EN"
"7401", "Chillies+Peppers, Green", "EN"
"5248", "Chips and Particles", "EN"
"1619", "Chips and Particles", "EN"
"1440", "Chlordimeform", "EN"
"1310", "Chlorinated Hydrocarbons", "EN"
"1436", "Chlorobenzilate", "EN"
"666", "Chocolate Prsnes", "EN"
"517", "Cider Etc", "EN"
"828", "Cigarettes", "EN"
"829", "Cigars Cheroots", "EN"
"693", "Cinnamon (canella)", "EN"
"511", "Citrus fruit juices, nes(511)", "EN"
"7512", "Citrus Fruit nes Tree", "EN"
"512", "Citrus fruit, nes", "EN"
"1804", "Citrus Fruit,Total", "EN"
"514", "Citrus juice, concentrated", "EN"
"513", "Citrus juice, single strength", "EN"
"2614", "Citrus, Other", "EN"
"640", "Clover for forage and silage", "EN"
"698", "Cloves", "EN"
"2642", "Cloves", "EN"
"845", "Cmpd Feed,Oth Or Nes", "EN"
"842", "Cmpd Feed,Pigs", "EN"
"841", "Cmpd Feed,Poultry", "EN"
"1031", "Coarse Goat Hair", "EN"
"1814", "Coarse Grain, Total", "EN"
"1988", "Coarse Grains", "EN"
"11988", "Coarse Grains", "EN"
"1616", "Coated Papers", "EN"
"2633", "Cocoa Beans", "EN"
"661", "Cocoa beans", "EN"
"7661", "Cocoa Beans Tree", "EN"
"664", "Cocoa Butter", "EN"
"662", "Cocoa Paste", "EN"
"663", "Cocoahusks;Shell", "EN"
"665", "Cocoapowder&Cake", "EN"
"252", "Coconut (copra) oil", "EN"
"2578", "Coconut Oil", "EN"
"249", "Coconuts", "EN"
"2560", "Coconuts - Incl Copra", "EN"
"250", "Coconuts Desiccated", "EN"
"7249", "Coconuts Tree", "EN"
"1187", "Cocoon Unr.&Waste", "EN"
"2630", "Coffee", "EN"
"659", "Coffee Extracts", "EN"
"1956", "Coffee Green+Roast", "EN"
"660", "Coffee Husks and Skins", "EN"
"657", "Coffee Roasted", "EN"
"658", "Coffee Subst. Cont.Coffee", "EN"
"656", "Coffee, green", "EN"
"7656", "Coffee, Green Tree", "EN"
"1891", "Coffee+Tea+Cocoa+Sp-07", "EN"
"813", "Coir", "EN"
"2455004", "Combine harvesters - threshers", "EN"
"1392", "Complex Fertilizer (K2o)", "EN"
"1665", "Composite Paper & Board", "EN"
"3140", "Composts and sewage waste", "EN"
"840", "Compound Feed, Cattle", "EN"
"5055", "Compound fertilizers", "EN"
"1377", "Concent Superphosphate", "EN"
"251", "Copra", "EN"
"2596", "Copra Cake", "EN"
"768", "Cotton Carded,Combed", "EN"
"767", "Cotton lint", "EN"
"2661", "Cotton Lint", "EN"
"770", "Cotton Linter", "EN"
"769", "Cotton Waste", "EN"
"329", "Cottonseed", "EN"
"2559", "Cottonseed", "EN"
"2594", "Cottonseed Cake", "EN"
"2575", "Cottonseed Oil", "EN"
"331", "Cottonseed oil", "EN"
"6600", "Country area", "EN"
"882", "Cow milk, whole, fresh", "EN"
"7882", "Cow Milk, Whole, Fresh T", "EN"
"881", "Cow milk, whole, fresh(881)", "EN"
"195", "Cow peas, dry", "EN"
"7195", "Cow Peas, Dry Tree", "EN"
"1573", "Cphlp Canned", "EN"
"1572", "Cphlp Cured", "EN"
"1571", "Cphlp Frozen", "EN"
"1575", "Cphlp Meals", "EN"
"1574", "Cphlp Pr nes", "EN"
"554", "Cranberries", "EN"
"7554", "Cranberries Tree", "EN"
"553", "Cranberries, blueberries(553)", "EN"
"2743", "Cream", "EN"
"885", "Cream Fresh", "EN"
"1713", "Crops", "EN"
"1987", "Crops & Products", "EN"
"2041", "Crops (PIN)", "EN"
"1714", "Crops Primary", "EN"
"1715", "Crops Proc", "EN"
"1553", "Crstaceans F", "EN"
"1556", "Crstc Canned", "EN"
"1555", "Crstc Cured", "EN"
"1554", "Crstc Frozen", "EN"
"1558", "Crstc Meals", "EN"
"1557", "Crstc Pr nes", "EN"
"1912", "Crude Fertilizers", "EN"
"1293", "Crude Materials", "EN"
"1897", "Crude Materials -Ex2", "EN"
"1902", "Crude Materls nes -29", "EN"
"1390", "Crude Salts To 20% K2o", "EN"
"1851", "Crustac. Mollusc. Ceph.", "EN"
"2765", "Crustaceans", "EN"
"1559", "Crustaceans Meal F Offal", "EN"
"397", "Cucumbers and gherkins", "EN"
"7397", "Cucumbers and Gherkins T", "EN"
"6693", "Cultivated pastures equipped for irrig.", "EN"
"550", "Currants", "EN"
"7550", "Currants Tree", "EN"
"22004", "Current account balance Workers' remittances and compensation of employees, received (% of GDP)", "EN"
"1348", "Cyanide Generators", "EN"
"1886", "Dairy Products+Eggs-02", "EN"
"2619", "Dates", "EN"
"577", "Dates", "EN"
"7577", "Dates Tree", "EN"
"1427", "DDT, Hexachlorobenzene", "EN"
"20001", "Decile 1", "EN"
"20010", "Decile 10", "EN"
"20002", "Decile 2", "EN"
"20003", "Decile 3", "EN"
"20004", "Decile 4", "EN"
"20005", "Decile 5", "EN"
"20006", "Decile 6", "EN"
"20007", "Decile 7", "EN"
"20008", "Decile 8", "EN"
"20009", "Decile 9", "EN"
"1222", "Degras", "EN"
"2762", "Demersal Fish", "EN"
"1523", "Demersal Liver Oils", "EN"
"1524", "Demersal Meal from Offal", "EN"
"310530", "Diammonium phosphate (DAP)", "EN"
"1336", "Diazines, Morpholines", "EN"
"1433", "Dieldrin", "EN"
"22000", "Dietary Energy Supply (DES)", "EN"
"1325", "Dinitroanilines", "EN"
"1434", "Dinoseb acetate", "EN"
"1430", "Dinoseb and dinoseb salts", "EN"
"1351", "Disinfectants", "EN"
"1358", "Disinfectants", "EN"
"1446", "Disinfectants, etc (excl. Haz. pest.)", "EN"
"1419", "Disinfectants,etc", "EN"
"1667", "Dissolving Wood Pulp", "EN"
"1333", "Dithiocarbamates", "EN"
"1317", "Dithiocarbamates-SeedTrF", "EN"
"1522", "Dmrs Bdy Oil", "EN"
"1519", "Dmrsl Canned", "EN"
"1518", "Dmrsl Cured", "EN"
"1516", "Dmrsl Fillet", "EN"
"1514", "Dmrsl Fresh", "EN"
"1517", "Dmrsl Fz Flt", "EN"
"1515", "Dmrsl Fz Whl", "EN"
"1521", "Dmrsl Meals", "EN"
"1520", "Dmrsl Pr nes", "EN"
"1431", "DNOC and its salts (excl. 290811-290891) ", "EN"
"654", "Dregs From Brewing;Dist.", "EN"
"11733", "Dried Fruits Total", "EN"
"450", "Dried Mushrooms", "EN"
"527", "Dry Apricots", "EN"
"1069", "Duck meat", "EN"
"1068", "Ducks", "EN"
"8068", "Ducks Tree", "EN"
"11853", "Edible Fat Total", "EN"
"916", "Egg Albumine", "EN"
"399", "Eggplants (aubergines)", "EN"
"7399", "Eggplants Tree", "EN"
"1782", "Eggs", "EN"
"2744", "Eggs", "EN"
"2949", "Eggs", "EN"
"1064", "Eggs Dried", "EN"
"1942", "Eggs in The Shell", "EN"
"1063", "Eggs Liquid", "EN"
"1943", "Eggs Liquid,Dried", "EN"
"1783", "Eggs Primary", "EN"
"1114", "Equine meat, nes(1114)", "EN"
"1099", "Equine offal, fresh, chilled or frozen(1099)", "EN"
"1424", "Ethylene dibromide (1,2-dibromoethane)", "EN"
"1423", "Ethylene dichloride", "EN"
"1816", "Evaporat&Condensed Milk", "EN"
"672", "Extracts Tea, Mate, Prep", "EN"
"6640", "Fallow land", "EN"
"1060", "Fat Liver Prep (Foie Gras)", "EN"
"949", "Fat of Buffaloes", "EN"
"1129", "Fat of Camels", "EN"
"869", "Fat of Cattle", "EN"
"1019", "Fat of Goats", "EN"
"1037", "Fat of Pigs", "EN"
"1065", "Fat of Poultry", "EN"
"1066", "Fat of Ptry Rend", "EN"
"979", "Fat of Sheep", "EN"
"1160", "Fat Other Camelids", "EN"
"1243", "Fat Prep Nes", "EN"
"2737", "Fats, Animals, Raw", "EN"
"1276", "Fatty Acids", "EN"
"854", "Feed Additives", "EN"
"1983", "Feed Excl Fish", "EN"
"855", "Feed Minerals", "EN"
"850", "Feed Supplements", "EN"
"849", "Feed Yeast", "EN"
"5593", "Female economically active population", "EN"
"5603", "Female economically active population in Agr", "EN"
"516", "Fermented beverages, nes(516)", "EN"
"5180", "Fertilizers", "EN"
"1397", "Fertilizers Manufactured, nes", "EN"
"1401", "Fertilizers, Organic", "EN"
"821", "Fibre Crops Nes", "EN"
"1753", "Fibre Crops Primary", "EN"
"1874", "Fibreboard", "EN"
"1649", "Fibreboard, Compressed", "EN"
"569", "Figs", "EN"
"570", "Figs Dried", "EN"
"7569", "Figs Tree", "EN"
"1682", "Filter Paper & Board,rfu", "EN"
"1030", "Fine Goat Hair", "EN"
"5017", "Fish", "EN"
"11839", "Fish & Products", "EN"
"1538", "Fish and marine mammal fats and body oils", "EN"
"1539", "Fish and marine mammal liver oils", "EN"
"1834", "Fish Food", "EN"
"2855", "Fish Meal", "EN"
"2781", "Fish, Body Oil", "EN"
"2782", "Fish, Liver Oil", "EN"
"2960", "Fish, Seafood", "EN"
"1820", "Fishery Primary", "EN"
"1599", "Fishery Total Value", "EN"
"1905", "Fixed Vegetab Oils -42", "EN"
"1973", "Flax Fib+Tow+W", "EN"
"773", "Flax fibre and tow", "EN"
"771", "Flax Fibre Raw", "EN"
"774", "Flax Tow Waste", "EN"
"90", "Flour of Buckwheat", "EN"
"126", "Flour of Cassava", "EN"
"111", "Flour of Cereals", "EN"
"95", "Flour of Fonio", "EN"
"624", "Flour of Fruits", "EN"
"58", "Flour of Maize", "EN"
"80", "Flour of Millet", "EN"
"104", "Flour of Mixed Grain", "EN"
"295", "Flour of Mustard", "EN"
"343", "Flour of Oilseeds", "EN"
"212", "Flour of Pulses", "EN"
"150", "Flour of Roots and Tubers", "EN"
"72", "Flour of Rye", "EN"
"84", "Flour of Sorghum", "EN"
"98", "Flour of Triticale", "EN"
"16", "Flour of Wheat", "EN"
"1439", "Fluoroacetamide, monocrotophos & phosphamidon", "EN"
"1892", "Fodder & Feeding stuff", "EN"
"1618", "Folding Boxboard", "EN"
"94", "Fonio", "EN"
"7094", "Fonio Tree", "EN"
"1704", "Food", "EN"
"2054", "Food (PIN)", "EN"
"1883", "Food and Animals -0", "EN"
"3002", "Food consumption", "EN"
"1982", "Food Excl Fish", "EN"
"3003", "Food needs", "EN"
"1232", "Food Prep Nes", "EN"
"115", "Food Prep,Flour,Malt Extract", "EN"
"3004", "Food quality", "EN"
"5300", "Food Security", "EN"
"1259", "Food Waste,Prep. for Feed", "EN"
"653", "Food Wastes", "EN"
"651", "forage Products", "EN"
"22003", "Foreign direct investment, net (BoP, current US$) Workers' remittances and compensation of employees, received (% of GDP)", "EN"
"6660", "Forest and woodland", "EN"
"6661", "Forest area", "EN"
"1877", "Forest Products", "EN"
"5200", "Forestry", "EN"
"2761", "Freshwater Fish", "EN"
"1511", "Freshwater Meal Fr Offal", "EN"
"118", "Frozen Potatoes", "EN"
"154", "Fructose Chemically Pure", "EN"
"1889", "Fruit + Vegetables -05", "EN"
"620", "Fruit Dried Nes", "EN"
"1801", "Fruit excl Melons,Total", "EN"
"619", "Fruit Fresh Nes", "EN"
"7619", "Fruit Fresh nes Tree", "EN"
"1737", "Fruit Incl Melons", "EN"
"622", "Fruit Juice Nes", "EN"
"520", "Fruit juices, nes(520)", "EN"
"1738", "Fruit Primary", "EN"
"623", "Fruit Prp Nes", "EN"
"604", "Fruit Tropical Dried Nes", "EN"
"7603", "Fruit Tropical Fresh nes", "EN"
"618", "Fruit, nes(618)", "EN"
"603", "Fruit, tropical fresh nes", "EN"
"625", "Fruit,Nut,Peel, Sugar Prs", "EN"
"2919", "Fruits - Excluding Wine", "EN"
"2920", "Fruits - Including Wine", "EN"
"2625", "Fruits, Other", "EN"
"1509", "Frwt Bdy Oil", "EN"
"1510", "Frwt Lvr Oil", "EN"
"1506", "Frwtr Canned", "EN"
"1505", "Frwtr Cured", "EN"
"1501", "Frwtr Diad F", "EN"
"1503", "Frwtr Fillet", "EN"
"1504", "Frwtr Fz Flt", "EN"
"1502", "Frwtr Fz Whl", "EN"
"1508", "Frwtr Meals", "EN"
"1507", "Frwtr Pr nes", "EN"
"1684", "Fuelwood", "EN"
"1417", "Fungicides", "EN"
"1444", "Fungicides (excl. Haz. pest.)", "EN"
"1331", "Fungicides&Bactericides", "EN"
"1163", "Game meat", "EN"
"8163", "Game Meat Tree", "EN"
"406", "Garlic", "EN"
"7406", "Garlic Tree", "EN"
"22008", "GDP (current US$ million)", "EN"
"1072", "Geese and guinea fowls", "EN"
"8072", "Geese Tree", "EN"
"57", "Germ of Maize", "EN"
"19", "Germ of Wheat", "EN"
"953", "Ghee Oil of Buf", "EN"
"887", "Ghee,Butteroil of Cow Milk", "EN"
"720", "Ginger", "EN"
"172", "Glucose and Dextrose", "EN"
"846", "Gluten Feed&Meal", "EN"
"24", "Gluten of Wheat", "EN"
"22011", "GNI (current US$ Million)", "EN"
"1033", "Goat Live Weight", "EN"
"1017", "Goat meat", "EN"
"8020", "Goat Milk Tree", "EN"
"1020", "Goat milk, whole, fresh", "EN"
"1024", "Goat milk, whole, fresh(1024)", "EN"
"1016", "Goats", "EN"
"2704", "Goats", "EN"
"8016", "Goats Tree", "EN"
"1025", "Goatskins", "EN"
"1073", "Goose and guinea fowl meat", "EN"
"549", "Gooseberries", "EN"
"7549", "Gooseberries Tree", "EN"
"1701", "Grand Total", "EN"
"2901", "Grand Total", "EN"
"2902", "Grand Total - Supply", "EN"
"1793", "Grand Total Exc Alcohol", "EN"
"562", "Grape Juice", "EN"
"2613", "Grapefruit", "EN"
"507", "Grapefruit (inc. pomelos)", "EN"
"7507", "Grapefruit and Pomelo Tr", "EN"
"510", "Grapefruit juice, concentrated", "EN"
"560", "Grapes", "EN"
"2620", "Grapes", "EN"
"2825", "Grapes - Incl Wine", "EN"
"7560", "Grapes Tree", "EN"
"2042", "Graphic Papers", "EN"
"639", "Grasses Nes for forage;Sil", "EN"
"994", "Grease incl. Lanolin Wool", "EN"
"7446", "Green Corn (Maize) Tree", "EN"
"642", "Green Oilseeds for Silage", "EN"
"6685", "Gross planted area", "EN"
"1382", "Ground Rock Phosphate", "EN"
"2591", "Groundnut Cake", "EN"
"2572", "Groundnut Oil", "EN"
"244", "Groundnut oil", "EN"
"2820", "Groundnuts (in Shell Eq)", "EN"
"2556", "Groundnuts (Shelled Eq)", "EN"
