Project Name,Project Symbol,Country,Province,Location,Donor Type, Donor,Project Status,From date,To date, Budget, Currency,Priority Sector,Priority Description, Budget Type,Food Security,Implementing Agency Type, Implementing Agency, Notes
SME Sector Development,?,188,n.a.,n.a.,NUN,2NONUN,1,01-2004,12-2009,18000,USD,25000,25010,LO,F2,CNT,188,Min. Finance and revenue
NWFP Road Sector Developm and Subregional Connectivity Project,?,188,2275,n.a.,NUN,2NONUN,1,01-2005,12-2010,306738,USD,21000,21020,LO,F2,CNT,188,min of Communication
TA Loan for infrastructure Development,?,188,n.a.,n.a.,NUN,2NONUN,1,01-2006,12-2010,25000,USD,43000,43040,LO,F2,CNT,188,Min. of Planning
Baluchistan road Development Sector Project,?,188,2272,n.a.,NUN,2NONUN,1,01-2004,12-2009,0,?,43000,43040,LO,F2,CNT,188,"Balochistan, Work and Services Dept"
Multisector Rehabilitation and Improvement for AJK,?,188,2275,n.a.,NUN,2NONUN,1,01-2004,12-2009,5130,USD,14000,14030,LO,F4,CNT,188,Min Planning and Development
Rawalphindi Environm. Improvement Project,?,188,n.a.,n.a.,NUN,2NONUN,1,01-2005,12-2011,60000,USD,14000,14020,LO,F4,CNT,188,Punjab Gov.
Community Based Livelihoods Recovery Programme,?,188,2275,AJK,NUN,18NONUN,1,01-2006,12-2009,12738,USD,73000,73010,GR,F3,UN,29UN,?
Earthquake emergency Assistance for Rehabilitation and reconstruction,?,188,n.a.,n.a.,NUN,18NONUN,1,01-2007,12-2009,47400,USD,73000,73010,GR,F3,NUN,2NONUN,?
Community Based Livelihoods Recovery Programme,?,188,2275,n.a.,NUN,18NONUN,1,01-2006,12-2009,14220,USD,73000,73010,GR,F3,UN,29UN,?
Siran valley livelihoods rehabilitation programme,?,188,2275,n.a.,NUN,18NONUN,1,01-2007,12-2009,11850,USD,73000,73010,GR,F3,NGF,25NGOFASS,Concern Worldwide
Strenghtening of Livestock Services Project,?,188,n.a.,n.a.,NUN,18NONUN,1,01-2006,12-2009,27261,USD,31100,31195,GR,F1,CNT,188,Minfal
Strenghtening of Livestock Services Project,?,188,n.a.,n.a.,CNT,188,1,01-2004,12-2009,3621,USD,31100,31195,GR,F1,CNT,188,Minfal
Integrated Development Programme for AJK and Balochistan,?,188,2272,n.a.,NUN,18NONUN,1,01-2006,12-2009,296,USD,31100,31120,GR,F1,NGF,25NGOFASS,Islamic Relief
Integrated Development Programme for AJK and Balochistan,?,188,2275,AJK,NUN,18NONUN,1,01-2006,12-2009,0,USD,31100,31120,GR,F1,NGF,25NGOFASS,Islamic Relief
Sustainable Livelihood Initiatives in Disaster Phone Asreas ,?,188,2277,n.a.,NUN,18NONUN,1,01-2006,12-2009,11850,USD,43000,43040,GR,F2,NGF,16NGOFASS,?
Sustainable Livelihood Initiatives in Disaster Phone Asreas ,?,188,2272,n.a.,NUN,18NONUN,1,01-2006,12-2009,0,USD,43000,43040,GR,F2,NGF,16NGOFASS,?
Sustainable Livelihood Initiatives in Disaster Phone Asreas ,?,188,2276,n.a.,NUN,18NONUN,1,01-2006,12-2009,0,USD,43000,43040,GR,F2,NGF,16NGOFASS,?
Integrated Development Programme for AJK and Balochistan,?,188,2272,n.a.,NUN,18NONUN,1,01-2006,12-2009,296,USD,12000,12240,GR,F4,NGF,25NGOFASS,Islamic Relief
Integrated Development Programme for AJK and Balochistan,?,188,2275,AJK,NUN,18NONUN,1,01-2006,12-2009,0,USD,12000,12240,GR,F4,NGF,25NGOFASS,Islamic Relief
Better Management Practices for Water Thirsty Crops,?,188,2276,n.a.,NUN,18NONUN,1,01-2006,12-2010,11150,USD,31100,31140,GR,F2,NGF,24NGOFASS,WWF UK
Participatory Solid Waste Management,?,188,2275,AJK,NUN,18NONUN,1,01-2007,12-2008,700,USD,14000,14050,GR,F4,NGF,25NGOFASS,Clovek Tisini Spolecnost Priceske
Euro Asian research & Training in climate change Management,?,188,n.a.,n.a.,NUN,18NONUN,1,01-2005,12-2008,1150,USD,41000,41081,GR,F3,OTH,26OTHERACT,Universities and Research Institution
TPC/PAK/3102,TPC/PAK/3102,188,2274,n.a.,UN,7UN,1,01-2007,12-2008,208,USD,31300,31320,GR,F2,CNT,188,Minfal
Resaerch and Development Cotton Programme,UTF/PAK/109/pak,188,n.a.,n.a.,CNT,188,3,01-2008,12-2008,114,USD,31100,31162,GR,F2,CNT,188,?
Resaerch and Development Cotton Programme,?,188,n.a.,n.a.,CNT,188,3,01-2008,12-2008,0,USD,31100,31162,GR,F2,UN,7UN,?
Capacity Enhancement Assistance to MINFAL in Trade policy,UTF/PAK/PAK,188,n.a.,n.a.,UN,7UN,3,01-2008,12-2010,600,USD,33100,33110,GR,F2,CNT,188,?
Capacity Enhancement Assistance to MINFAL in Trade policy,?,188,n.a.,n.a.,UN,7UN,3,01-2008,12-2010,0,USD,33100,33110,GR,F2,UN,7UN,?
Training on Agricultural Casuals Methodology and Time series,TCP/PAK/3104,188,n.a.,n.a.,UN,7UN,1,01-2005,12-2005,99,USD,31100,31110,GR,F2,CNT,188,Statistic Div.
Strenghtening of capacity for the Improvement of Agricultural Statistics,UTF/PAK/104/PAK,188,n.a.,n.a.,CNT,188,3,?,?,658,USD,31100,31110,n.a.,F2,NA,n.a.,?
Strenghtening Seed Supply in the ECO Rewgion with Specific Enphasis on Central Asia ,TCP/INT/3102,188,n.a.,n.a.,UN,7UN,1,01-2006,12-2008,430,USD,31100,31150,GR,F1,CNT,188,MINFAL
Support to Olive oil sector Development,04/V/PAK/206,188,n.a.,n.a.,CNT,188,3,01-2006,12-2008,1607,USD,31100,31161,n.a.,F2,NA,n.a.,?
Tech Assist for management of Earthquake Early Recovery,?,188,n.a.,n.a.,UN,29UN,1,01-2005,12-2009,292,USD,72000,72050,GR,F3,UN,29UN,?
Tech Assist for management of Earthquake Early Recovery,?,188,n.a.,n.a.,CNT,93,1,01-2005,12-2009,423,USD,72000,72050,GR,F3,UN,29UN,?
Tech Assist for management of Earthquake Early Recovery,?,188,n.a.,n.a.,CNT,259,1,01-2005,12-2009,119,USD,72000,72050,GR,F3,UN,29UN,?
Support to Volunteer Initiatives in pakistan,?,188,n.a.,n.a.,UN,29UN,1,01-2005,12-2008,200,USD,74000,74010,GR,F3,UN,29UN,?
Water and Sanitation WES Earthquake,?,188,2275,n.a.,UN,38UN,1,01-2005,12-2008,25746,USD,14000,14000,GR,F4,UN,38UN,?
Water and Sanitation WES Earthquake,?,188,2275,AJK,UN,38UN,1,01-2005,12-2008,0,?,14000,14000,n.a.,F4,UN,38UN,?
"Emergency Assist to support rehabilitation in agriculture, livestock, fishery etc.",TCP/PAK/3103,188,2272,n.a.,UN,7UN,1,01-2007,12-2008,500,USD,73000,73010,GR,F3,CNT,188,?
"Emergency Assist to support rehabilitation in agriculture, livestock, fishery etc.",TCP/PAK/3103,188,2272,n.a.,UN,7UN,1,01-2007,12-2008,0,USD,73000,73010,GR,F3,UN,7UN,?
Bio Saline II,?,188,2276,n.a.,UN,29UN,1,01-2006,12-2010,4441,USD,31100,31140,GR,F1,CNT,188,?
Area Developm Programme - Baluchistan Phase 2,?,188,2272,n.a.,UN,29UN,1,01-2006,12-2009,2528,USD,43000,43040,GR,F2,NA,n.a.,?
Improvement of livelihood in the Federally Administr Tribal area,?,188,n.a.,n.a.,UN,7UN,3,01-2008,12-2009,385,USD,43000,43040,GR,F2,CNT,188,?
Productive Use of Renewable Energy in Northern Area,?,188,2275,n.a.,UN,29UN,1,01-2005,12-2008,50,USD,41000,41010,GR,F3,UN,29UN,?
Balochistan Jumpers,?,188,2272,n.a.,UN,29UN,1,01-2007,12-2009,150,USD,41000,41030,GR,F3,UN,29UN,?
Mass Aweareness for water Conservation and Development,?,188,n.a.,n.a.,UN,29UN,1,01-2006,12-2009,154,USD,41000,41010,GR,F3,CNT,188,Min of Science & Techn.
Protection and mangement of Wetland,?,188,n.a.,n.a.,UN,29UN,1,01-2005,12-2011,1500,USD,41000,41040,GR,F3,CNT,188,Min of Environment
Conservation of Global Significance in Arid Areas,?,188,2272,n.a.,UN,29UN,1,01-2005,12-2009,100,USD,41000,41030,GR,F3,CNT,188,Min of Environment
Mountain Areas Conservancy Project,?,188,2275,n.a.,UN,29UN,1,01-1999,12-2008,1800,USD,41000,41010,GR,F3,NUN,56NONUN,IUCN
Protection and mangement of Wetland project,?,188,n.a.,n.a.,NUN,22NONUN,1,01-2005,12-2011,4491,USD,41000,41040,GR,F3,CNT,188,Min of Environment
Balochistan Junifers,?,188,2272,n.a.,NUN,22NONUN,1,01-2007,12-2009,1125,USD,41000,41030,GR,F3,UN,29UN,?
Conservation of Habitats anmd Species in the Ecosystem,?,188,2272,n.a.,NUN,22NONUN,1,01-2005,12-2009,767,USD,41000,41030,GR,F3,UN,29UN,?
Mountain Areas Conservancy Project,?,188,2275,n.a.,NUN,22NONUN,1,01-1999,12-2008,8100,USD,41000,41040,GR,F3,NUN,56NONUN,IUCN
Mountain Areas Conservancy Project,?,188,2275,n.a.,UN,29UN,1,01-2006,12-2009,1800,USD,41000,41040,GR,F3,NUN,56NONUN,IUCN
National Self Assessment for Global Environment management ,?,188,n.a.,n.a.,NUN,22NONUN,1,01-2004,12-2008,199,USD,41000,41010,GR,F3,CNT,188,Min of Environment
Sustainable Develop of Utility Scale Wind Production,?,188,n.a.,n.a.,NUN,22NONUN,1,01-2006,12-2009,3820,USD,41000,41010,GR,F3,CNT,188,Min of Water Power
Pro Poor Policy formulation - dialogue and Implementation at Country Level,GCP/RAS/214/FA,188,n.a.,n.a.,UN,12UN,1,01-2007,12-2010,1500,USD,31100,31110,GR,F2,CNT,188,MINFAL
Restoration of Earthquake affected Communities and Household,683-PK,188,2275,AJK,UN,12UN,1,01-2006,12-2011,26500,USD,72000,72010,GR,F3,CNT,188,Pakistan Poverty Alleviation Fund
Reallocation in AJK Community Development Project,?,188,2275,AJK,UN,12UN,1,01-2006,12-2012,18000,USD,73000,73010,LO,F3,CNT,188,AJK Gov.
Dir Area Support Project,?,188,2275,n.a.,UN,12UN,1,01-1997,12-2008,15492,USD,31100,31120,LO,F1,CNT,188,NWFP Gov.
AJK Community Development Project,?,188,2275,AJK,UN,12UN,1,01-2004,12-2012,22570,USD,31100,31120,LO,F1,UN,12UN,?
NWFP Barani Area Development Project II,?,188,2275,n.a.,UN,12UN,1,01-2006,12-2009,13937,USD,43000,43040,LO,F2,CNT,188,NWFP Gov.
Reallocation in AJK Community Development Project,?,188,2275,AJK,UN,12UN,1,01-2006,12-2012,18000,USD,73000,73010,LO,F3,NA,n.a.,?
South FATA Developm. Project,0554-PAK,188,2273,n.a.,UN,12UN,1,01-2002,12-2009,17420,USD,31100,31120,LO,F1,CNT,188,NWFP Gov.
South FATA Developm. Project,0554-PAK,188,n.a.,n.a.,UN,12UN,1,01-2002,12-2009,17420,USD,31100,31120,LO,F2,CNT,188,NWFP Dep of Planning and Develop.
Chagai Water Manag. and Agricultural Development Project,?,188,2272,n.a.,NUN,36NONUN,1,01-2004,12-2009,7621,USD,31100,31120,LO,F1,CNT,188,Minfal
Chagai Water Manag. and Agricultural Development Project,?,188,2272,n.a.,NUN,36NONUN,1,01-2004,12-2009,0,USD,31100,31120,LO,F2,CNT,188,Minfal
Earthquake emergency Recovery Project,?,188,2275,AJK,NUN,54NONUN,1,01-2005,12-2009,103999,USD,73000,73010,LO,F3,CNT,188,ERRA
Additional Financing and Reallocation under PPAF project,?,188,2275,AJK,NUN,54NONUN,1,01-2006,12-2008,100000,USD,73000,73010,LO,F3,OTH,26OTHERACT,PPAF - Pakistan Poverty Alleviation Found
Additional Financing and Rehabilitation Earthquake  affected Community,?,188,n.a.,n.a.,NUN,54NONUN,1,01-2007,?,138000,USD,73000,73010,LO,F3,OTH,26OTHERACT,PPAF - Pakistan Poverty Alleviation Found
Additional Financing and Rehabilitation Earthquake  affected Community,?,188,n.a.,n.a.,NUN,54NONUN,1,01-2005,?,100000,USD,73000,73010,LO,F3,OTH,26OTHERACT,PPAF - Pakistan Poverty Alleviation Found
AJK Community Infrastructure and Services Project,?,188,2275,AJK,NUN,54NONUN,1,01-2006,12-2008,30000,USD,73000,73010,LO,F3,OTH,26OTHERACT,PPAF - Pakistan Poverty Alleviation Found
Pakistan Earthquake ERC,?,188,n.a.,n.a.,NUN,54NONUN,1,01-2005,12-2009,400000,USD,73000,73010,LO,F3,NA,n.a.,?
AJK Community Infrastructure and Services Project,?,188,2275,AJK,NUN,54NONUN,1,01-2005,?,30000,USD,73000,73010,LO,F3,CNT,188,AJK local Govt.
AJK Community Infrastructure and Services Project,?,188,2275,AJK,NUN,54NONUN,1,01-2005,?,30000,USD,73000,73010,LO,F3,CNT,188,Edu. Departments
Punjab Land Record mangement and Information System,?,188,2276,n.a.,NUN,54NONUN,1,01-2007,12-2012,45650,USD,31100,31110,LO,F2,NUN,51NONUN,?
Small Scale Irrigation project,?,188,2272,n.a.,NUN,54NONUN,1,01-2004,12-2008,84770,USD,31100,31140,LO,F1,CNT,188,Baluchistan Irigation Power Secretary
Pakistan Povery Alleviation Fund Project II,?,188,n.a.,n.a.,NUN,54NONUN,1,01-2005,12-2009,75000,USD,43000,43040,LO,F2,CNT,188,PPAF
Land Records Mangement and Information Systems Program,?,188,2276,n.a.,NUN,54NONUN,1,01-2007,12-2012,51260,USD,31100,31110,LO,F2,CNT,188,Govt of Punjab
Taunsa Barrage Emergency Rehabilitation and Modernisation Project,?,188,2276,n.a.,NUN,54NONUN,1,01-2005,12-2008,150000,USD,73000,73010,LO,F3,CNT,188,Govt of Punjab
Sindh on-Farm Water Management Project,?,188,2277,n.a.,NUN,54NONUN,1,01-2004,12-2008,84770,USD,31100,31140,LO,F1,CNT,188,Gov of Sindh
PPAF Earthquake Disability Project,?,188,2275,n.a.,NUN,54NONUN,1,01-2007,12-2008,5000,USD,73000,73010,LO,F3,CNT,188,Min of Economic Affairs
Sindh Water Sector Improvement Project,?,188,2277,n.a.,NUN,54NONUN,1,01-2007,12-2013,175000,USD,31100,31140,LO,F1,CNT,188,SIDA Sindh Irrig Drainage Authority
NWFP Community Infrastructure Project II,?,188,2275,n.a.,NUN,54NONUN,1,01-2004,12-2009,53300,USD,14000,14010,LO,F4,CNT,188,Dept of local Tehsil auth.
Second Poverty Alleviation Fund Project,?,188,n.a.,n.a.,NUN,54NONUN,1,01-2003,12-2010,368000,USD,43000,43040,LO,F4,CNT,188,PPAF
Second Poverty Alleviation Fund Project,?,188,n.a.,n.a.,NUN,54NONUN,1,01-2003,12-2010,0,USD,43000,43040,n.a.,F2,CNT,188,PPAF
AJK Community Infrastructure and Services Project,?,188,2275,AJK,NUN,54NONUN,1,01-2002,12-2008,27150,USD,43000,43040,LO,F2,CNT,188,Local Govt Rural Developm Dept.
Protected Areas Management Project,?,188,n.a.,n.a.,NUN,54NONUN,1,01-2001,12-2009,10700,USD,41000,41040,LO,F3,CNT,188,MELGRD
Rebuilding Sustainable Communities - School Reconstruction,?,188,n.a.,n.a.,CNT,46,1,01-2007,12-2011,20000,USD,73000,73010,GR,F3,NA,n.a.,?
Pakistan Earthquake Rehabiliation in Konsh,?,188,2275,AJK,CNT,46,1,01-2006,12-2008,2500,USD,73000,73010,GR,F3,NGF,6NGOFASS,?
Pak Earthquake -UN Habitat,?,188,n.a.,n.a.,CNT,46,1,01-2006,12-2008,7000,USD,74000,74000,GR,F3,UN,36UN,?
Assistance to Earthquake Reconstruction and Rehabilitation Authority,?,188,n.a.,n.a.,CNT,46,1,01-2006,12-2009,570,USD,73000,73010,GR,F3,CNT,188,ERRA
Pak Earthquake Rehabiliation in Mansehra,?,188,2275,n.a.,CNT,46,1,01-2007,12-2008,2000,USD,73000,73010,GR,F3,NGF,23NGOFASS,World Vision Canada
Pak Earthquake Rehabilitation in Abbottabad,?,188,2275,n.a.,CNT,46,1,01-2006,12-2008,2500,USD,73000,73010,GR,F3,NGF,6NGOFASS,?
Pakistan earthquake Community development,?,188,2275,n.a.,CNT,46,1,01-2007,12-2008,1500,USD,73000,73010,GR,F3,NGF,25NGOFASS,Plan International Canada
Earthquake Reconstruction Program - Oxfam,?,188,2275,AJK,CNT,46,1,01-2007,12-2009,2500,USD,73000,73010,GR,F3,NGF,1NGOFASS,Aga Khan Foundation Canada
Earthquake Reconstruction Program - Oxfam,?,188,2275,AJK,CNT,46,1,01-2007,12-2011,2444,USD,73000,73010,GR,F3,NGF,16NGOFASS,Oxfam Canada
Assistance to Food Insecure Household s in FATA and Baluchistan,?,188,2273,n.a.,CNT,46,1,01-2007,12-2010,8800,USD,31100,31161,GR,F1,UN,44UN,?
Assistance to Food Insecure Household s in FATA and Baluchistan,?,188,2272,n.a.,CNT,46,1,01-2007,12-2010,0,USD,12000,12240,GR,F4,UN,44UN,?
Aga Khan Foundation Programme,?,188,n.a.,n.a.,CNT,46,1,01-2005,12-2010,3377.75,USD,43000,43040,GR,F2,NGF,1NGOFASS,Aga Khan Foundation Canada
Restore and sustainable livelihoods,?,188,2275,n.a.,CNT,46,1,01-2007,12-2012,2500,USD,43000,43040,GR,F2,NGF,6NGOFASS,?
Private Enterprise Partnership - Middle East and North Africa,?,188,n.a.,n.a.,CNT,46,1,01-2006,12-2009,450,USD,25000,25010,GR,F2,NUN,54NONUN,?
Integration of Women Producers into Effective Markets,?,188,n.a.,n.a.,CNT,46,1,01-2007,12-2012,920,USD,43000,43040,GR,F2,NGF,25NGOFASS,Mennonite Econom. Developm. Associates
Export Credit facility,?,188,n.a.,n.a.,CNT,256,1,01-2007,12-2009,133000,USD,31100,31162,LO,F2,CNT,188,MINFAL
Livelihood Restoration: Local Partner Support ,?,188,2275,n.a.,CNT,256,1,01-2006,12-2008,820,USD,43000,43040,GR,F1,NA,n.a.,?
Karakorum Handcraft Development Programme,?,188,2275,n.a.,CNT,256,1,01-1996,12-2008,58000,USD,43000,43040,GR,F2,CNT,188,KADO Karakoram Area Development Organisation  
Integrated Natural Resources mangement Project,?,188,2275,n.a.,CNT,256,1,01-2006,12-2008,1060,USD,31200,31220,LO,F3,CNT,188,"IC, Govt of NWFP"
Environmental Education Promotion at school and College level Project,?,188,n.a.,n.a.,CNT,256,1,01-2004,12-2008,4633,USD,41000,41081,GR,F3,CNT,188,Min of Education
Farm Forestry Support Project,?,188,2275,n.a.,CNT,256,1,01-2000,12-2008,5343,USD,43000,43040,GR,F2,CNT,188,?
Health action in Crisis Project with Direct Humanitarian Effect,?,188,2275,AJK,NUN,10NONUN,1,01-2007,12-2008,433,USD,74000,74010,GR,F3,UN,45UN,?
Health action in Crisis Project with Direct Humanitarian Effect,?,188,n.a.,n.a.,CNT,46,1,01-2007,12-2008,186,USD,12000,12250,GR,F4,UN,45UN,?
Health action in Crisis Project with Direct Humanitarian Effect,?,188,n.a.,n.a.,NUN,15NONUN,1,01-2007,12-2008,3519,USD,12000,12250,GR,F4,UN,45UN,?
Health action in Crisis Project with Direct Humanitarian Effect,?,188,n.a.,n.a.,UN,45UN,1,01-2007,12-2008,814,USD,12000,12250,GR,F4,UN,45UN,?
Techn Assistance for Management  of Earthquake Early Recovery ,?,188,2275,n.a.,NUN,15NONUN,1,01-2007,12-2009,1921,USD,73000,73010,GR,F3,UN,29UN,?
Rural Support Programme Network Phase II,?,188,n.a.,n.a.,NUN,15NONUN,1,01-2005,12-2010,17470,USD,43000,43040,GR,F2,NUN,56NONUN,Rural Support Programme Network
Punjab Developm Social Services programme,?,188,2276,n.a.,NUN,15NONUN,1,01-2006,12-2009,30000,USD,16000,16050,GR,F4,NUN,4NONUN,?
Punjab Developm Social Services programme,?,188,2276,n.a.,NUN,15NONUN,1,01-2006,12-2009,20000,USD,16000,16050,GR,F4,NUN,4NONUN,?
NWFP Rural Water Supply,?,188,2275,n.a.,NUN,24OTHERACT,1,01-2003,12-2008,11355,USD,14000,14030,GR,F4,CNT,188,NWFP
Tech Assistance for the mang. of Earthquake Early Recovery,?,188,n.a.,n.a.,CNT,259,1,01-2005,12-2009,76,USD,72000,72050,GR,F3,UN,29UN,?
Tech Assistance for the mang. of Earthquake Early Recovery,?,188,n.a.,n.a.,CNT,259,1,01-2005,12-2009,119,USD,72000,72050,GR,F3,UN,29UN,?
Improving livelihoods and Enterprise Development,?,188,n.a.,n.a.,CNT,259,1,01-2006,12-2009,27997,USD,43000,43040,GR,F2,NGF,25NGOFASS,CNFA
Food Security - Poverty Alleviation,GCP/PAK/095/USA,188,2272,n.a.,CNT,259,1,01-2004,12-2008,6335,USD,43000,43040,GR,F2,UN,7UN,?
Programme Support,?,188,n.a.,n.a.,CNT,259,1,01-2003,12-2008,244,USD,43000,43040,GR,F2,NUN,51NONUN,USAID
Revitalization integration and Decentr in Earthquake Affected  Areas,?,188,n.a.,n.a.,CNT,259,1,01-2006,12-2010,7685,USD,72000,72010,GR,F3,NGF,25NGOFASS,IRC Intern Rescue Committee
Pakistan Safe Drinking water and Hygene promotion Project,?,188,n.a.,n.a.,CNT,259,1,?,?,16734,USD,14000,14081,GR,F4,NGF,26OTHERACT,ABT Associates
Pakistan health System Strenghtening,?,188,n.a.,n.a.,CNT,259,1,?,?,10970,USD,12000,12220,GR,F4,NGF,26OTHERACT,ABT Associates
Pakistan health System Strenghtening,?,188,n.a.,n.a.,CNT,259,1,?,?,0,USD,12000,12240,GR,F4,NGF,26OTHERACT,ABT Associates
Improvement Child Survival Health and Nutrition,?,188,n.a.,n.a.,CNT,259,1,?,?,11500,USD,12000,12220,GR,F4,NGF,25NGOFASS,Save the Children
Programme Support,?,188,n.a.,n.a.,CNT,259,1,?,?,3107,USD,12000,12220,GR,F4,NA,n.a.,?
Aga Khan Foundation Earthquake Assistance,?,188,2275,AJK,NGF,1NGOFASS,1,?,?,53500,USD,72000,72010,GR,F3,NA,n.a.,?
Agricultural  Research and Extension Expert,?,188,2275,n.a.,NUN,38NONUN,1,?,?,0,n.a.,31100,31120,n.a.,F1,CNT,188,Livestock Cooperative Dept. NWFP
Developm Study on rehabilitation and Reconstruction in Muzaffarabad,?,188,2275,"AJK, Muzaffarabad",NUN,38NONUN,1,?,?,0,n.a.,73000,73010,n.a.,F3,CNT,188,ERRA
Irrigation mangement Tranfer/Water Mang. Expert,?,188,2276,n.a.,NUN,38NONUN,1,?,?,0,n.a.,31100,31140,n.a.,F1,CNT,188,Punjab Irrigat Authority
Techn Cooperation for Establishment Environmental Monitoring System,?,188,n.a.,n.a.,NUN,38NONUN,1,?,?,0,n.a.,41000,41010,n.a.,F3,CNT,188,Pakistan Environm. Protection Agency
Capacity Building for Solid Waste Mangement,?,188,n.a.,n.a.,NUN,38NONUN,1,?,?,0,n.a.,14000,14050,n.a.,F4,CNT,188,Pakistan Environm. Protection Agency
Project for Strengthening of Flood Risk Management in Lai Nullah Basin,?,188,2274,n.a.,NUN,38NONUN,1,?,?,0,n.a.,74000,74010,n.a.,F3,CNT,188,Federal Flood Commission
