Date,Country,Unfavourable Prospects,Contributing Factors,Changes from Last Report
02-2007,172,123,'',''
02-2007,217,123,'',''
02-2007,227,123,'',''
02-2007,35,123,'',''
02-2007,57,123,'',''
02-2007,63,123,'',''
02-2007,271,122,Dry spells in southern parts of the country.,''
03-2007,1,123,'',''
03-2007,103,123,'',''
03-2007,105,123,'',''
03-2007,106,123,'',''
03-2007,108,123,'',''
03-2007,111,123,'',''
03-2007,118,122,"Conflict, displacement",''
03-2007,133,123,'',''
03-2007,144,123,'',''
03-2007,150,123,'',''
03-2007,159,123,'',''
03-2007,175,123,'',''
03-2007,181,123,'',''
03-2007,188,123,'',''
03-2007,19,123,'',''
03-2007,196,123,'',''
03-2007,217,123,'',''
03-2007,221,123,'',''
03-2007,226,122,"Floods, conflict",''
03-2007,231,123,'',''
03-2007,242,122,Drought,''
03-2007,253,123,'',''
03-2007,257,123,'',''
03-2007,35,123,'',''
03-2007,40764,123,'',''
03-2007,43,123,'',''
03-2007,49,123,'',''
03-2007,50,123,'',''
03-2007,57,123,'',''
03-2007,59,123,'',''
03-2007,63,123,'',''
03-2007,66,123,'',''
03-2007,67,123,'',''
03-2007,68,123,'',''
03-2007,77,123,'',''
03-2007,79,123,'',''
03-2007,142,122,Dry weather,''
03-2007,227,122,Dry and hot weather in the maize growing areas.,''
03-2007,235,122,Dry weather,''
03-2007,33,122,"Adverse weather conditions (floods in lowlands; drought, hail and frost in highlands)",''
03-2007,172,122,Dry spells,''
03-2007,271,122,Drought especially in southern parts of the country.,''
03-2007,8,123,'',''
04-2007,1,123,'',''
04-2007,103,123,'',''
04-2007,105,123,'',''
04-2007,106,123,'',''
04-2007,108,123,'',''
04-2007,111,123,'',''
04-2007,118,122,"Conflict, displacement",''
04-2007,133,123,'',''
04-2007,142,122,Dry weather,''
04-2007,144,123,'',''
04-2007,150,123,'',''
04-2007,172,122,Dry spells,''
04-2007,175,123,'',''
04-2007,181,123,'',''
04-2007,188,123,'',''
04-2007,19,123,'',''
04-2007,196,123,'',''
04-2007,217,123,'',''
04-2007,221,123,'',''
04-2007,226,122,"Floods, conflict",''
04-2007,227,122,Dry and hot weather in the maize growing areas.,''
04-2007,231,123,'',''
04-2007,235,122,Dry weather,''
04-2007,242,122,Drought,''
04-2007,253,123,'',''
04-2007,257,123,'',''
04-2007,271,122,Drought especially in southern parts of the country.,''
04-2007,33,122,"Adverse weather conditions (floods in lowlands; drought, hail and frost in highlands)",''
04-2007,35,123,'',''
04-2007,40764,123,'',''
04-2007,43,123,'',''
04-2007,49,123,'',''
04-2007,50,123,'',''
04-2007,57,123,'',''
04-2007,59,123,'',''
04-2007,63,123,'',''
04-2007,66,123,'',''
04-2007,67,123,'',''
04-2007,68,123,'',''
04-2007,77,123,'',''
04-2007,79,123,'',''
04-2007,8,123,'',''
04-2007,159,123,'',''
04-2007,169,122,Lack of rainfall,''
05-2007,103,123,'',''
05-2007,111,123,'',''
05-2007,118,122,"Conflict, displacement",''
05-2007,205,123,'',''
05-2007,217,123,'',''
05-2007,33,122,"Adverse weather conditions (floods in lowlands; drought, hail and frost in highlands)",''
05-2007,35,123,'',''
05-2007,57,123,'',''
05-2007,63,123,'',''
05-2007,8,123,'',''
05-2007,108,123,'',''
05-2007,142,123,'',''
05-2007,1,123,'',''
05-2007,105,123,'',''
05-2007,106,123,'',''
05-2007,133,123,'',''
05-2007,144,123,'',''
05-2007,150,123,'',''
05-2007,159,123,'',''
05-2007,169,122,Lack of rainfall,''
05-2007,175,123,'',''
05-2007,181,123,'',''
05-2007,188,123,'',''
05-2007,19,123,'',''
05-2007,221,123,'',''
05-2007,226,122,Conflict,''
05-2007,231,123,'',''
05-2007,235,123,'',''
05-2007,242,122,Bad weather,''
05-2007,257,123,'',''
05-2007,271,123,'',''
05-2007,40764,123,'',''
05-2007,43,123,'',''
05-2007,49,123,'',''
05-2007,50,123,'',''
05-2007,59,123,'',''
05-2007,66,123,'',''
05-2007,67,123,'',''
05-2007,68,123,'',''
05-2007,77,123,'',''
05-2007,172,123,'',''
05-2007,227,123,'',''
05-2007,270,123,'',''
05-2007,170,123,'',''
05-2007,79,123,'',''
05-2007,253,123,'',''
06-2007,1,123,'',''
06-2007,103,123,'',''
06-2007,105,123,'',''
06-2007,106,123,'',''
06-2007,108,123,'',''
06-2007,111,123,'',''
06-2007,118,122,"Conflict, displacement",''
06-2007,133,123,'',''
06-2007,144,123,'',''
06-2007,150,123,'',''
06-2007,159,123,'',''
06-2007,169,122,Lack of rainfall,''
06-2007,170,123,'',''
06-2007,172,123,'',''
06-2007,175,123,'',''
06-2007,181,123,'',''
06-2007,188,123,'',''
06-2007,19,123,'',''
06-2007,205,123,'',''
06-2007,217,123,'',''
06-2007,221,123,'',''
06-2007,226,122,Conflict,''
06-2007,227,123,'',''
06-2007,231,123,'',''
06-2007,235,123,'',''
06-2007,242,122,Bad weather,''
06-2007,253,123,'',''
06-2007,257,123,'',''
06-2007,270,123,'',''
06-2007,271,123,'',''
06-2007,33,122,"Adverse weather conditions (floods in lowlands; drought, hail and frost in highlands)",''
06-2007,35,123,'',''
06-2007,40764,123,'',''
06-2007,43,123,'',''
06-2007,49,123,'',''
06-2007,50,123,'',''
06-2007,57,123,'',''
06-2007,59,123,'',''
06-2007,63,123,'',''
06-2007,66,123,'',''
06-2007,67,123,'',''
06-2007,68,123,'',''
06-2007,77,123,'',''
06-2007,79,123,'',''
06-2007,8,123,'',''
06-2007,142,123,'',''
07-2007,1,123,'',''
07-2007,103,123,'',''
07-2007,105,123,'',''
07-2007,106,123,'',''
07-2007,108,123,'',''
07-2007,111,123,'',''
07-2007,142,123,'',''
07-2007,144,123,'',''
07-2007,159,123,'',''
07-2007,169,122,Lack of rainfall,''
07-2007,172,123,'',''
07-2007,188,123,'',''
07-2007,19,123,'',''
07-2007,205,123,'',''
07-2007,217,123,'',''
07-2007,221,123,'',''
07-2007,227,123,'',''
07-2007,231,123,'',''
07-2007,235,123,'',''
07-2007,253,123,'',''
07-2007,271,123,'',''
07-2007,35,123,'',''
07-2007,43,123,'',''
07-2007,49,123,'',''
07-2007,50,123,'',''
07-2007,57,123,'',''
07-2007,59,123,'',''
07-2007,63,123,'',''
07-2007,66,123,'',''
07-2007,68,123,'',''
07-2007,77,123,'',''
07-2007,8,123,'',''
07-2007,150,123,'',''
07-2007,170,123,'',''
07-2007,270,123,'',''
07-2007,270,123,'',''
07-2007,118,123,'',''
07-2007,133,123,'',''
07-2007,175,123,'',''
07-2007,181,123,'',''
07-2007,226,122,"Conflict, drought in parts",''
07-2007,242,123,'',''
07-2007,257,123,'',''
07-2007,33,123,'',''
07-2007,40764,123,'',''
07-2007,67,123,'',''
07-2007,79,123,'',''
08-2007,1,123,'',''
08-2007,103,123,'',''
08-2007,105,123,'',''
08-2007,106,123,'',''
08-2007,108,123,'',''
08-2007,111,123,'',''
08-2007,118,123,'',''
08-2007,133,123,'',''
08-2007,142,123,'',''
08-2007,144,123,'',''
08-2007,150,123,'',''
08-2007,159,123,'',''
08-2007,169,122,Lack of rainfall,''
08-2007,170,123,'',''
08-2007,172,123,'',''
08-2007,175,123,'',''
08-2007,181,123,'',''
08-2007,188,123,'',''
08-2007,19,123,'',''
08-2007,205,123,'',''
08-2007,217,123,'',''
08-2007,221,123,'',''
08-2007,226,122,"Conflict, drought in parts",''
08-2007,227,123,'',''
08-2007,231,123,'',''
08-2007,235,123,'',''
08-2007,242,123,'',''
08-2007,253,123,'',''
08-2007,257,123,'',''
08-2007,270,123,'',''
08-2007,270,123,'',''
08-2007,271,123,'',''
08-2007,33,123,'',''
08-2007,35,123,'',''
08-2007,40764,123,'',''
08-2007,43,123,'',''
08-2007,49,123,'',''
08-2007,50,123,'',''
08-2007,57,123,'',''
08-2007,59,123,'',''
08-2007,63,123,'',''
08-2007,66,123,'',''
08-2007,67,123,'',''
08-2007,68,123,'',''
08-2007,77,123,'',''
08-2007,79,123,'',''
08-2007,8,123,'',''
09-2007,1,123,'',''
09-2007,103,123,'',''
09-2007,105,123,'',''
09-2007,106,123,'',''
09-2007,108,123,'',''
09-2007,111,123,'',''
09-2007,118,123,'',''
09-2007,133,123,'',''
09-2007,142,123,'',''
09-2007,144,123,'',''
09-2007,150,123,'',''
09-2007,159,123,'',''
09-2007,169,122,Lack of rainfall,''
09-2007,170,123,'',''
09-2007,172,123,'',''
09-2007,175,123,'',''
09-2007,181,123,'',''
09-2007,188,123,'',''
09-2007,19,123,'',''
09-2007,205,123,'',''
09-2007,217,123,'',''
09-2007,221,123,'',''
09-2007,226,122,"Conflict, drought in parts",''
09-2007,227,123,'',''
09-2007,231,123,'',''
09-2007,235,123,'',''
09-2007,242,123,'',''
09-2007,253,123,'',''
09-2007,257,123,'',''
09-2007,270,123,'',''
09-2007,270,123,'',''
09-2007,271,123,'',''
09-2007,33,123,'',''
09-2007,35,123,'',''
09-2007,40764,123,'',''
09-2007,43,123,'',''
09-2007,49,123,'',''
09-2007,50,123,'',''
09-2007,57,123,'',''
09-2007,59,123,'',''
09-2007,63,123,'',''
09-2007,66,123,'',''
09-2007,67,123,'',''
09-2007,68,123,'',''
09-2007,77,123,'',''
09-2007,79,123,'',''
09-2007,8,123,'',''
10-2007,123,123,'',''
10-2007,159,123,'',''
10-2007,169,123,'',''
10-2007,180,123,'',''
10-2007,209,123,'',''
10-2007,242,123,'',''
10-2007,33,123,'',''
10-2007,47,122,Drought,''
10-2007,71,123,'',''
10-2007,79,123,'',''
10-2007,1,123,'',''
10-2007,105,123,'',''
10-2007,106,123,'',''
10-2007,116,123,'',''
10-2007,133,123,'',''
10-2007,142,123,'',''
10-2007,144,123,'',''
10-2007,165,123,'',''
10-2007,175,123,'',''
10-2007,188,123,'',''
10-2007,204,123,'',''
10-2007,221,123,'',''
10-2007,226,122,"Conflict, drought in parts",''
10-2007,23,123,'',''
10-2007,231,123,'',''
10-2007,235,123,'',''
10-2007,253,123,'',''
10-2007,271,123,'',''
10-2007,40764,123,'',''
10-2007,43,123,'',''
10-2007,49,123,'',''
10-2007,50,123,'',''
10-2007,59,123,'',''
10-2007,66,123,'',''
10-2007,67,123,'',''
10-2007,68,123,'',''
10-2007,77,123,'',''
10-2007,94,122,Floods,''
10-2007,118,123,'',''
11-2007,1,123,'',''
11-2007,105,123,'',''
11-2007,106,123,'',''
11-2007,118,123,'',''
11-2007,123,123,'',''
11-2007,142,123,'',''
11-2007,144,123,'',''
11-2007,159,123,'',''
11-2007,165,123,'',''
11-2007,169,123,'',''
11-2007,204,123,'',''
11-2007,209,123,'',''
11-2007,221,123,'',''
11-2007,231,123,'',''
11-2007,235,123,'',''
11-2007,271,123,'',''
11-2007,33,123,'',''
11-2007,40764,123,'',''
11-2007,43,123,'',''
11-2007,49,123,'',''
11-2007,50,123,'',''
11-2007,59,123,'',''
11-2007,66,123,'',''
11-2007,67,123,'',''
11-2007,68,123,'',''
11-2007,71,123,'',''
11-2007,77,123,'',''
11-2007,79,123,'',''
11-2007,23,123,'',''
11-2007,175,123,'',''
11-2007,108,123,'',''
11-2007,116,123,'',''
11-2007,133,123,'',''
11-2007,180,123,'',''
11-2007,188,123,'',''
11-2007,226,122,"Conflict, drought in parts",''
11-2007,242,123,'',''
11-2007,253,123,'',''
11-2007,47,123,'',''
11-2007,72,123,'',''
11-2007,94,123,'',''
12-2007,1,123,'',''
12-2007,105,123,'',''
12-2007,106,123,'',''
12-2007,108,123,'',''
12-2007,116,123,'',''
12-2007,118,123,'',''
12-2007,123,123,'',''
12-2007,133,123,'',''
12-2007,142,123,'',''
12-2007,144,123,'',''
12-2007,159,123,'',''
12-2007,165,123,'',''
12-2007,169,123,'',''
12-2007,175,123,'',''
12-2007,180,123,'',''
12-2007,188,123,'',''
12-2007,204,123,'',''
12-2007,209,123,'',''
12-2007,221,123,'',''
12-2007,226,122,"Conflict, drought in parts",''
12-2007,23,123,'',''
12-2007,231,123,'',''
12-2007,235,123,'',''
12-2007,242,123,'',''
12-2007,253,123,'',''
12-2007,271,123,'',''
12-2007,33,123,'',''
12-2007,40764,123,'',''
12-2007,43,123,'',''
12-2007,47,123,'',''
12-2007,49,123,'',''
12-2007,50,123,'',''
12-2007,59,123,'',''
12-2007,66,123,'',''
12-2007,67,123,'',''
12-2007,68,123,'',''
12-2007,71,123,'',''
12-2007,72,123,'',''
12-2007,77,123,'',''
12-2007,79,123,'',''
12-2007,94,123,'',''
01-2008,1,123,'',''
01-2008,105,122,Marketing problems,''
01-2008,108,123,'',''
01-2008,116,123,'',''
01-2008,118,122,IDPs,''
01-2008,142,122,HIV/AIDS impact,''
01-2008,144,122,IDPs,''
01-2008,159,122,Floods in parts,''
01-2008,165,123,'',''
01-2008,175,123,'',''
01-2008,180,123,'',''
01-2008,204,123,'',''
01-2008,221,122,Refugees,''
01-2008,231,122,Deepening conflicts and floods,''
01-2008,235,122,HIV/AIDS impact,''
01-2008,242,122,"Drought/floods, market access",''
01-2008,253,122,"IDPs, floods in parts",''
01-2008,271,123,'',''
01-2008,40764,122,Returnees,''
01-2008,43,122,"IDPs, returnees and recent dry spells",''
01-2008,49,122,IDPs,''
01-2008,59,122,Refugees,''
01-2008,66,122,IDPs,''
01-2008,68,122,IDPs and refugees,''
01-2008,72,123,'',''
01-2008,77,122,"Returnees, high food prices",''
01-2008,94,123,'',''
01-2008,79,123,'',''
01-2008,123,123,'',''
01-2008,123,123,'',''
01-2008,209,123,'',''
01-2008,71,123,'',''
01-2008,106,123,'',''
01-2008,133,122,Insufficient rainfall,''
01-2008,188,123,'',''
01-2008,226,122,Adverse weather,''
01-2008,23,123,'',''
01-2008,50,123,'',''
01-2008,67,123,'',''
02-2008,105,122,Marketing problems,''
02-2008,106,123,'',''
02-2008,118,122,IDPs,''
02-2008,123,123,'',''
02-2008,123,123,'',''
02-2008,142,122,HIV/AIDS impact,''
02-2008,144,122,IDPs,''
02-2008,165,123,'',''
02-2008,204,123,'',''
02-2008,209,123,'',''
02-2008,221,122,Refugees,''
02-2008,235,122,HIV/AIDS impact,''
02-2008,253,122,"IDPs, floods in parts",''
02-2008,40764,122,Returnees,''
02-2008,59,122,Refugees,''
02-2008,66,122,IDPs,''
02-2008,68,122,IDPs and refugees,''
02-2008,71,123,'',''
02-2008,1,123,'',''
02-2008,108,123,'',''
02-2008,116,123,'',''
02-2008,133,122,Insufficient rainfall,''
02-2008,159,123,'',''
02-2008,175,123,'',''
02-2008,180,123,'',''
02-2008,188,123,'',''
02-2008,226,122,Adverse weather and insufficient rainfall,''
02-2008,23,123,'',''
2008-02-12,231,123,'',''
2008-02-12,242,123,'',''
2008-02-12,271,123,'',''
2008-02-12,33,123,'',''
2008-02-12,43,123,'',''
2008-02-12,49,123,'',''
2008-02-12,50,123,'',''
2008-02-12,67,123,'',''
02-2008,72,123,'',''
02-2008,77,123,'',''
02-2008,79,123,'',''
02-2008,94,123,'',''
03-2008,1,123,'',''
03-2008,105,122,Marketing problems,''
03-2008,106,123,'',''
03-2008,108,123,'',''
03-2008,116,123,'',''
03-2008,118,122,IDPs,''
03-2008,123,123,'',''
03-2008,123,123,'',''
03-2008,133,122,Insufficient rainfall,''
03-2008,142,122,HIV/AIDS impact,''
03-2008,144,122,IDPs,''
03-2008,159,123,'',''
03-2008,165,123,'',''
03-2008,175,123,'',''
03-2008,180,123,'',''
03-2008,188,123,'',''
03-2008,204,123,'',''
03-2008,209,123,'',''
03-2008,221,122,Refugees,''
03-2008,226,122,Adverse weather and insufficient rainfall,''
03-2008,23,123,'',''
03-2008,231,123,'',''
03-2008,235,122,HIV/AIDS impact,''
03-2008,242,123,'',''
03-2008,253,122,"IDPs, floods in parts",''
03-2008,271,123,'',''
03-2008,33,123,'',''
03-2008,40764,122,Returnees,''
03-2008,43,123,'',''
03-2008,49,123,'',''
03-2008,50,123,'',''
03-2008,59,122,Refugees,''
03-2008,66,122,IDPs,''
03-2008,67,123,'',''
03-2008,68,122,IDPs and refugees,''
03-2008,71,123,'',''
03-2008,72,123,'',''
03-2008,77,123,'',''
03-2008,79,123,'',''
03-2008,94,123,'',''
04-2008,116,123,'',''
04-2008,165,123,'',''
04-2008,204,123,'',''
04-2008,226,122,"Adverse weather, conflicts",''
04-2008,23,123,'',''
04-2008,231,123,'',''
04-2008,235,123,'',''
04-2008,253,123,'',''
04-2008,264,123,'',''
04-2008,49,123,'',''
04-2008,53,123,'',''
04-2008,67,123,'',''
04-2008,68,123,'',''
04-2008,73,123,'',''
04-2008,142,123,'',''
04-2008,79,122,Insufficient rainfall,''
05-2008,105,123,'',''
05-2008,106,123,'',''
05-2008,108,123,'',''
05-2008,116,123,'',''
05-2008,159,123,'',''
